epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5615.58,0.82932,0.65379,1.37943,0.90966,0.86862,0.93285,0.66303,1.07992,0.66546,1.67467,0.000539464,0.000539464,0.000539464
43,5749.37,0.81175,0.63222,1.37573,0.89367,0.88985,0.93516,0.67113,1.05948,0.67089,1.65587,0.000517907,0.000517907,0.000517907
44,5882.83,0.80605,0.62598,1.36288,0.92861,0.87698,0.93947,0.68071,1.04871,0.63456,1.65151,0.000496416,0.000496416,0.000496416
45,6016.59,0.79759,0.61124,1.35935,0.91389,0.89005,0.94759,0.68471,1.0554,0.60598,1.64376,0.000475025,0.000475025,0.000475025
46,6150.49,0.79023,0.60667,1.35484,0.94518,0.88502,0.9563,0.69773,1.03321,0.59921,1.62715,0.000453766,0.000453766,0.000453766
47,6284.34,0.78657,0.59929,1.33941,0.89617,0.88842,0.93499,0.6871,1.0254,0.60862,1.62659,0.000432673,0.000432673,0.000432673
48,6418.05,0.77069,0.58807,1.33143,0.93048,0.86729,0.93406,0.68157,1.01874,0.6053,1.62952,0.000411778,0.000411778,0.000411778
49,6551.65,0.77371,0.58545,1.33397,0.92629,0.90549,0.94597,0.69725,1.0193,0.59462,1.63165,0.000391113,0.000391113,0.000391113
50,6685.47,0.75164,0.58372,1.31969,0.93806,0.87893,0.93318,0.69637,0.98339,0.59901,1.5863,0.00037071,0.00037071,0.00037071
51,6819.02,0.75714,0.57951,1.32388,0.92774,0.89437,0.94477,0.69601,0.99902,0.5965,1.6085,0.0003506,0.0003506,0.0003506
52,6952.62,0.74895,0.56768,1.32011,0.93166,0.89051,0.95034,0.69799,1.02193,0.59595,1.63785,0.000330815,0.000330815,0.000330815
53,7086.47,0.74599,0.54915,1.31371,0.93379,0.89114,0.94624,0.69998,1.01164,0.608,1.62694,0.000311385,0.000311385,0.000311385
54,7220.29,0.73532,0.54956,1.30962,0.90876,0.90971,0.95006,0.69789,1.01807,0.58408,1.63416,0.00029234,0.00029234,0.00029234
55,7355.05,0.72164,0.53277,1.29229,0.89852,0.90097,0.94788,0.70598,1.00406,0.60459,1.6076,0.00027371,0.00027371,0.00027371
56,7488.8,0.71833,0.53345,1.28873,0.92868,0.8956,0.9527,0.71542,0.99894,0.58304,1.62011,0.000255522,0.000255522,0.000255522
57,7622.6,0.7055,0.52069,1.27828,0.9502,0.88535,0.95767,0.71106,1.00713,0.55967,1.62544,0.000237805,0.000237805,0.000237805
58,7756.39,0.70516,0.51981,1.27695,0.93977,0.87385,0.9529,0.71357,0.98884,0.55326,1.61341,0.000220587,0.000220587,0.000220587
59,7889.6,0.7007,0.51553,1.27801,0.91643,0.9019,0.95025,0.70192,1.00657,0.57658,1.63483,0.000203894,0.000203894,0.000203894
60,8023.13,0.68842,0.50499,1.26693,0.91876,0.89196,0.94678,0.70056,1.01183,0.56084,1.64031,0.000187752,0.000187752,0.000187752
61,8156.48,0.68189,0.50229,1.25791,0.94497,0.86745,0.93963,0.70525,1.00162,0.57072,1.62854,0.000172185,0.000172185,0.000172185
62,8290.1,0.68513,0.50372,1.26305,0.94665,0.8735,0.94665,0.70716,0.98108,0.5652,1.6098,0.000157218,0.000157218,0.000157218
63,8423.97,0.67937,0.50268,1.25582,0.94808,0.87599,0.94798,0.70717,1.00582,0.56232,1.63051,0.000142874,0.000142874,0.000142874
