epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2844,0.81744,0.63783,1.34787,0.93137,0.86346,0.93002,0.6659,1.07062,0.64679,1.65362,0.000539464,0.000539464,0.000539464
43,2911.51,0.79895,0.62113,1.34294,0.91143,0.89405,0.94028,0.68802,1.04282,0.63512,1.64999,0.000517907,0.000517907,0.000517907
44,2979.32,0.79197,0.60554,1.32928,0.95497,0.86253,0.93499,0.67949,1.05452,0.63472,1.65092,0.000496416,0.000496416,0.000496416
45,3046.6,0.78836,0.59842,1.32727,0.91084,0.89445,0.93992,0.67393,1.0549,0.63727,1.64678,0.000475025,0.000475025,0.000475025
46,3114.07,0.77309,0.5881,1.31914,0.93572,0.90029,0.94873,0.68535,1.04128,0.60034,1.64058,0.000453766,0.000453766,0.000453766
47,3181.47,0.77866,0.58776,1.30934,0.94974,0.85392,0.93555,0.67508,1.08359,0.62952,1.68237,0.000432673,0.000432673,0.000432673
48,3248.93,0.76507,0.57823,1.30616,0.90531,0.91209,0.94165,0.6886,1.02848,0.61363,1.64004,0.000411778,0.000411778,0.000411778
49,3316.36,0.76402,0.57852,1.30574,0.89061,0.91721,0.94516,0.69047,1.02483,0.5885,1.62515,0.000391113,0.000391113,0.000391113
50,3384.06,0.74856,0.57332,1.29667,0.91598,0.89591,0.941,0.69414,1.00779,0.63948,1.61081,0.00037071,0.00037071,0.00037071
51,3451.74,0.7496,0.57245,1.29904,0.92934,0.90179,0.93791,0.68485,1.02084,0.61672,1.59807,0.0003506,0.0003506,0.0003506
52,3519.33,0.73859,0.55221,1.29005,0.93387,0.88072,0.93729,0.68482,1.03456,0.59221,1.63392,0.000330815,0.000330815,0.000330815
53,3587,0.73608,0.53775,1.28247,0.94602,0.87189,0.93377,0.68863,1.01539,0.62088,1.62766,0.000311385,0.000311385,0.000311385
54,3654.51,0.72813,0.54759,1.28538,0.93991,0.87942,0.93938,0.68767,1.02378,0.62184,1.63833,0.00029234,0.00029234,0.00029234
55,3721.94,0.71572,0.52854,1.26697,0.94041,0.88166,0.93996,0.69248,1.0251,0.61844,1.64272,0.00027371,0.00027371,0.00027371
56,3789.45,0.71286,0.53359,1.26727,0.93098,0.88779,0.94712,0.69176,1.01646,0.59837,1.62945,0.000255522,0.000255522,0.000255522
57,3856.98,0.70026,0.52054,1.25707,0.92491,0.89118,0.94436,0.6896,1.02564,0.60435,1.63474,0.000237805,0.000237805,0.000237805
58,3924.63,0.70478,0.51654,1.25657,0.95015,0.89237,0.94361,0.69867,1.00333,0.58743,1.6051,0.000220587,0.000220587,0.000220587
59,3992.06,0.69289,0.51318,1.25048,0.95779,0.88926,0.94095,0.68666,1.01759,0.61499,1.63072,0.000203894,0.000203894,0.000203894
60,4059.59,0.68823,0.50499,1.24816,0.95129,0.88421,0.93915,0.69281,1.0072,0.60158,1.62485,0.000187752,0.000187752,0.000187752
61,4127.11,0.67788,0.50349,1.23497,0.94433,0.89092,0.93286,0.69272,1.01032,0.61446,1.62197,0.000172185,0.000172185,0.000172185
62,4194.7,0.68056,0.50273,1.23859,0.92878,0.90054,0.94335,0.70058,1.00045,0.58968,1.6263,0.000157218,0.000157218,0.000157218
63,4262.33,0.68078,0.50101,1.23664,0.95638,0.89576,0.94663,0.70017,1.00715,0.60352,1.62375,0.000142874,0.000142874,0.000142874
64,4329.97,0.66466,0.4865,1.23193,0.92878,0.90617,0.94039,0.70344,1.01589,0.60477,1.64684,0.000129174,0.000129174,0.000129174
65,4397.5,0.67433,0.48825,1.22468,0.92245,0.9054,0.94068,0.70202,1.00527,0.59173,1.62645,0.00011614,0.00011614,0.00011614
66,4465.02,0.67162,0.49161,1.23014,0.94606,0.8976,0.94114,0.70206,0.9987,0.59442,1.62743,0.000103792,0.000103792,0.000103792
67,4532.52,0.65915,0.48376,1.22667,0.9401,0.90467,0.94019,0.70241,1.00405,0.60299,1.64068,9.21498e-05,9.21498e-05,9.21498e-05
68,4599.93,0.67409,0.49377,1.22704,0.95641,0.90643,0.94706,0.70594,0.99404,0.59794,1.62081,8.12302e-05,8.12302e-05,8.12302e-05
69,4667.37,0.66107,0.47415,1.22584,0.94697,0.89306,0.94299,0.70475,0.99333,0.5969,1.62619,7.10504e-05,7.10504e-05,7.10504e-05
70,4734.79,0.65421,0.46848,1.21706,0.96125,0.90153,0.94268,0.70913,0.99385,0.58838,1.63793,6.16262e-05,6.16262e-05,6.16262e-05
71,4803.14,0.48812,0.26702,1.13924,0.94316,0.89889,0.94215,0.69716,1.00734,0.58799,1.65788,5.29721e-05,5.29721e-05,5.29721e-05
72,4870.3,0.48164,0.25927,1.13321,0.93948,0.89739,0.9428,0.70884,0.99775,0.60666,1.63784,4.51014e-05,4.51014e-05,4.51014e-05
73,4937.51,0.482,0.25759,1.1283,0.95199,0.89238,0.93972,0.70516,0.995,0.59318,1.63701,3.80262e-05,3.80262e-05,3.80262e-05
74,5004.79,0.47804,0.25647,1.13017,0.93766,0.90513,0.94229,0.70338,0.99567,0.59528,1.63925,3.17576e-05,3.17576e-05,3.17576e-05
75,5071.81,0.47491,0.25844,1.12603,0.95058,0.89927,0.9397,0.7034,0.99649,0.59417,1.63954,2.6305e-05,2.6305e-05,2.6305e-05
76,5138.95,0.4644,0.25209,1.12183,0.95126,0.89958,0.93969,0.70555,0.99898,0.59103,1.64336,2.1677e-05,2.1677e-05,2.1677e-05
77,5206.03,0.47214,0.25498,1.12853,0.95013,0.89947,0.9397,0.7036,0.99522,0.58862,1.64001,1.78807e-05,1.78807e-05,1.78807e-05
78,5273.25,0.46786,0.25175,1.11767,0.95665,0.9032,0.94608,0.706,0.99158,0.58733,1.63788,1.4922e-05,1.4922e-05,1.4922e-05
79,5340.42,0.46514,0.25203,1.11571,0.95671,0.90273,0.94615,0.70929,0.99182,0.59059,1.63893,1.28053e-05,1.28053e-05,1.28053e-05
80,5407.69,0.46999,0.2521,1.12152,0.9536,0.90032,0.94606,0.70668,0.98822,0.58377,1.63862,1.1534e-05,1.1534e-05,1.1534e-05
