epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1910.4,0.83627,0.68551,1.36329,0.90046,0.87467,0.91968,0.65699,1.11903,0.67546,1.69251,0.000539464,0.000539464,0.000539464
43,1955.94,0.81972,0.66617,1.36324,0.91722,0.89153,0.92738,0.67835,1.05185,0.64523,1.61959,0.000517907,0.000517907,0.000517907
44,2001.82,0.82001,0.65673,1.34893,0.92148,0.87378,0.93366,0.66037,1.09627,0.66239,1.66655,0.000496416,0.000496416,0.000496416
45,2047.54,0.81501,0.63641,1.35069,0.9092,0.87588,0.91908,0.65368,1.10042,0.66301,1.67176,0.000475025,0.000475025,0.000475025
46,2093.13,0.80224,0.63857,1.34329,0.95046,0.85173,0.93064,0.6701,1.09556,0.65016,1.69209,0.000453766,0.000453766,0.000453766
47,2138.61,0.80051,0.63669,1.32978,0.92097,0.86602,0.92405,0.66232,1.06027,0.66715,1.65154,0.000432673,0.000432673,0.000432673
48,2184.09,0.79237,0.62253,1.32845,0.90833,0.86789,0.9236,0.6711,1.05305,0.66652,1.64065,0.000411778,0.000411778,0.000411778
49,2229.23,0.79434,0.62586,1.3332,0.9089,0.86327,0.92161,0.66727,1.0704,0.65929,1.65027,0.000391113,0.000391113,0.000391113
50,2274.56,0.78278,0.61273,1.32231,0.92294,0.86661,0.92966,0.67669,1.04881,0.63583,1.63593,0.00037071,0.00037071,0.00037071
51,2320.05,0.78221,0.61449,1.32642,0.90836,0.87331,0.9212,0.6748,1.04943,0.64495,1.61811,0.0003506,0.0003506,0.0003506
52,2365.43,0.76667,0.59668,1.31249,0.92301,0.87331,0.9224,0.66746,1.07567,0.65401,1.6375,0.000330815,0.000330815,0.000330815
53,2410.77,0.76808,0.58719,1.30875,0.88585,0.8867,0.9269,0.67056,1.08438,0.65156,1.68356,0.000311385,0.000311385,0.000311385
54,2456.42,0.76159,0.5927,1.31127,0.92324,0.85763,0.91816,0.66933,1.05448,0.64182,1.65972,0.00029234,0.00029234,0.00029234
55,2502.06,0.75101,0.57288,1.29216,0.93688,0.85609,0.92221,0.66965,1.0735,0.64168,1.66705,0.00027371,0.00027371,0.00027371
56,2547.66,0.75284,0.5826,1.29898,0.93111,0.86129,0.92128,0.66316,1.07168,0.64268,1.66223,0.000255522,0.000255522,0.000255522
57,2593.35,0.73309,0.57297,1.28163,0.89708,0.87503,0.91923,0.66912,1.06957,0.6603,1.66972,0.000237805,0.000237805,0.000237805
